區鄉,里村,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資收入,稿費收入
大同區,南芳里,1285,1043050,15232,24089,702834,46860,68272,6944,2580,155336,0,19159,20,1724,975513,1636
大同區,鄰江里,2066,1412375,22441,31744,1030216,65071,52167,3456,5105,170017,1857,23695,805,5799,1461581,3053
大同區,玉泉里,1042,1032578,12200,27388,563939,55701,89645,5701,1398,258618,433,16604,130,821,774414,1565
大同區,光能里,1709,1632218,22130,94835,1104637,64386,124352,9069,2281,175169,380,25495,524,8960,1465390,3626
大同區,重慶里,2256,2134302,19286,61026,1445493,99098,45297,8857,4363,360055,17874,39819,42,33093,1926793,2168
大同區,至聖里,2699,2260274,38609,67541,1532914,99612,109180,4893,3586,332275,2184,52828,1821,14831,2075511,6673
大同區,老師里,1825,1311910,15480,28785,961922,49462,37450,2060,2387,186188,275,25450,355,2096,1363954,2224
大同區,蓬萊里,1739,1701049,28617,35033,1054370,73963,94524,8421,2251,350484,11796,28446,245,12898,1411908,2851
大同區,民權里,2160,2142456,26669,64913,1432016,101294,115587,8833,2651,336717,8772,32485,155,12366,1899359,3614
大同區,延平里,1379,1079649,9262,25420,713169,55415,82826,2358,1570,158840,2323,23059,979,4428,985529,3701
大同區,永樂里,1850,2273297,60736,34681,1047804,116745,195626,4386,1638,759156,1159,23673,594,27099,1397340,3705
大同區,保安里,1379,1632842,24822,45432,794343,54116,48076,8148,2440,635728,1001,12843,1634,4259,1085912,4315
大同區,其　他,30,25870,1150,143,14186,971,4792,21,32,1995,189,117,0,2273,18157,58
大同區,合　計,40429,37585058,533896,1034810,23401248,1683790,2274938,165660,57876,7567062,58494,583311,11063,212910,31738892,68813
中山區,聚盛里,1425,1120176,12416,55985,734701,41347,64287,16203,1488,160783,8466,21820,609,2071,995229,3028
中山區,大佳里,296,210691,2824,6875,136195,7735,27262,513,595,25710,0,2655,21,308,199439,220
中山區,恆安里,1835,2894367,111472,95509,1345279,82523,131117,19658,2733,1032980,8036,54214,54,10793,1696807,3175
中山區,集英里,2415,3140444,102565,59648,1575804,117827,216118,13171,3209,1000180,8390,29472,808,13249,2061268,6426
中山區,正守里,1234,1296525,14429,34934,788817,68571,73949,10486,1271,274054,6485,18458,410,4661,1029725,3094
中山區,正義里,1814,1507649,20704,53183,974163,58775,113466,4897,3698,255168,1418,18570,139,3468,1317602,2323
中山區,新生里,1590,1306300,40169,44113,833018,74943,102525,6936,1584,178264,1115,21594,30,2009,1136191,1759
中山區,松江里,2343,3860897,35099,82751,1629914,135625,174665,8666,3977,1760595,1880,28696,4138,0,2095580,10348
中山區,江山里,2824,3038174,23720,69966,1942474,146924,190461,7006,3847,551859,26768,82311,636,0,2483599,5824
中山區,中山里,2586,2490754,25164,86247,1617950,107214,142255,17954,3746,403257,5383,53300,1419,26865,2107380,7332
中山區,成功里,2554,6833355,35704,134050,3139507,206967,442954,68573,4736,2670588,2766,126547,483,478,3654510,6387
中山區,下埤里,2789,2793926,25246,85689,1770572,126554,122861,7559,4030,564866,4136,63492,4121,14800,2328324,17354
中山區,中原里,1901,2322151,14428,92145,1369013,97573,159965,11916,3015,538012,3217,25426,904,6536,1741287,5231
中山區,新庄里,1636,1096608,12414,18291,809021,54395,55792,5417,1737,119561,298,16748,171,2764,1138119,2543
